Fub	Location	Cluster	Unit	Function	Formula1	EC1	Idle	Leakage	Source1	Comment
mpcbodbbed	Uncore	NTR	ntr_misc	mpcbodbbed	un_imph_alloc_cbotrk	1.77	0.98328	0		
mpgdxcd	Uncore	NTR	ntr_misc	mpgdxcd	un_imph_alloc_cbotrk	0	0	0		
mpgfxtrkds	Uncore	NTR	ntr_misc	mpgfxtrkds	un_imph_alloc_cbotrk	59.28	8.25735	0		
mpgodgdxcs	Uncore	NTR	ntr_misc	mpgodgdxcs	un_imph_alloc_cbotrk	30.4	0	0		
ncsteerd	Uncore	NTR	ntr_misc	ncsteerd	un_imph_alloc_cbotrk	3.38	0.59383	0		
ncus	Uncore	NTR	ntr_misc	ncus	un_imph_alloc_cbotrk	0.87	16.75504	0		
mpringifcd	Uncore	NTR	ntr_ring_stop	mpringifcd	un_imph_alloc_cbotrk	0	0	0		
mpxtrks	Uncore	XTM	park_ctrs	mpxtrks	un_xtm_io_trk_alloc	331.04355	4	0		
cbaddrm0	Uncore	CBO	pipeline	cbaddrm0	un_cbo_irq_won_cpipe + un_cbo_ismq_won_cpipe+ un_cbo_irq_bypass	19.70958538	1.36 * p0.num_cbox	1.22332		
cbpipes0	Uncore	CBO	pipeline	cbpipes0	un_cbo_irq_won_cpipe + un_cbo_ismq_won_cpipe+ un_cbo_irq_bypass	88.47975925	3.63 * p0.num_cbox	6.07494		
cbregs0	Uncore	CBO	pipeline	cbregs0	un_cbo_irq_won_cpipe + un_cbo_ismq_won_cpipe+ un_cbo_irq_bypass	11.2925992	5.32 * p0.num_cbox	3.55712		
mprcarbd	Uncore	XTM	rch_arb	mprcarbd	un_xtm_io_trk_alloc	1139.137994	2.42222	0		
mprcarbs	Uncore	XTM	rch_arb	mprcarbs	un_xtm_io_trk_alloc	327.1504241	11.99337	0		
cbadm0	Uncore	CBO	ring_ad	cbadm0	un_cbo_inject_AD + un_cbo_bounce_msg_ad	15.62536484	2.37 * p0.num_cbox	0.82896		
cbakm0	Uncore	CBO	ring_ak_ar	cbakm0	un_cbo_recv_dash_t_accept + un_cbo_recv_dash_t_reject + un_cbo_recv_dash_t_retry +  un_cbo_inject_AK + un_imph_send_gntcmp_2ring  + un_imph_sending_wrcmp_on_ring + un_cbo_bounce_msg_ak	21.79935065	1.55 * p0.num_cbox	0.34214		
cbbvm0	Uncore	CBO	ring_bl_iv	cbbvm0	un_cbo_inject_BL + un_cbo_inject_SN + un_imc_alloc_chunk0_rd_ret_buf + un_imph_send_data_2ring_2cbo + un_imph_send_data_2ring_2core + un_cbo_bounce_msg_bl + un_cbo_bounce_msg_sn	19.77066752	3.66 * p0.num_cbox	1.06047		
cblsph2latchd0	Uncore	CBO	ring_bl_iv	cblsph2latchd0	un_cbo_inject_BL + un_cbo_inject_SN + un_imc_alloc_chunk0_rd_ret_buf + un_imph_send_data_2ring_2cbo + un_imph_send_data_2ring_2core + un_cbo_bounce_msg_bl + un_cbo_bounce_msg_sn	34.51720154	1.42 * p0.num_cbox	1.28179		
cbph1latchd1	Uncore	CBO	ring_bl_iv	cbph1latchd1	un_cbo_inject_BL + un_cbo_inject_SN + un_imc_alloc_chunk0_rd_ret_buf + un_imph_send_data_2ring_2cbo + un_imph_send_data_2ring_2core + un_cbo_bounce_msg_bl + un_cbo_bounce_msg_sn	15.79955071	.8 * p0.num_cbox	0		
cbph2latchd00	Uncore	CBO	ring_bl_iv	cbph2latchd00	un_cbo_inject_BL + un_cbo_inject_SN + un_imc_alloc_chunk0_rd_ret_buf + un_imph_send_data_2ring_2cbo + un_imph_send_data_2ring_2core + un_cbo_bounce_msg_bl + un_cbo_bounce_msg_sn	13.79486521	1.44 * p0.num_cbox	1.28346		
cbph2latchd10	Uncore	CBO	ring_bl_iv	cbph2latchd10	un_cbo_inject_BL + un_cbo_inject_SN + un_imc_alloc_chunk0_rd_ret_buf + un_imph_send_data_2ring_2cbo + un_imph_send_data_2ring_2core + un_cbo_bounce_msg_bl + un_cbo_bounce_msg_sn	23.16181001	1.55 * p0.num_cbox	1.28148		
spine	Spine	Spine	Spine	Spine	78 * p0.num_cbox	1	137			
cbbldm10	Uncore	CBO	tdf	cbbldm10	(un_cbo_inject_BL + un_imph_send_data_2ring_2core - un_cbo_uc_read - un_cbo_uc_write)	11.57281059	1.6 * p0.num_cbox	1.83687		
cbbldm20	Uncore	CBO	tdf	cbbldm20	(un_cbo_inject_BL + un_imph_send_data_2ring_2core - un_cbo_uc_read - un_cbo_uc_write)	11.9842668	1.6 * p0.num_cbox	1.83681		
cbbldm30	Uncore	CBO	tdf	cbbldm30	(un_cbo_inject_BL + un_imph_send_data_2ring_2core - un_cbo_uc_read - un_cbo_uc_write)	12.48100815	1.6 * p0.num_cbox	1.83689		
mpvtddatd	Uncore	XTM	vtd_data	mpvtddatd	un_xtm_io_trk_alloc	0	0.02009	0		
mpvtgd	Uncore	XTM	vtd_misc	mpvtgd	un_xtm_io_trk_alloc	-0.001374691	0.14088	0		
mpvtmiscs	Uncore	XTM	vtd_misc	mpvtmiscs	un_xtm_io_trk_alloc	259.948637	0	0		
mpvtddeftlbs	Uncore	XTM	vtd_table	mpvtddeftlbs	un_xtm_io_trk_alloc	-0.004124074	0.03608	0		
mpvtdtrkd	Uncore	XTM	vtd_trackers	mpvtdtrkd	un_xtm_io_trk_alloc	-0.079732099	0.24785	0		
mpvttrks	Uncore	XTM	vtd_trackers	mpvttrks	un_xtm_io_trk_alloc	-0.061861111	0.1403	0		
mpbgfqfs	Uncore	XTM	xtm_misc	mpbgfqfs	un_xtm_io_trk_alloc	30.63362222	0.47538	0		
mpgdxcfinalqd	Uncore	XTM	xtm_misc	mpgdxcfinalqd	un_xtm_io_trk_alloc	0	0.00687	0		
msgutils	Uncore	XTM	xtm_misc	msgutils	un_xtm_io_trk_alloc	-21.86171667	0.59153	0		
saedfxs	Uncore	XTM	xtm_misc	saedfxs	un_xtm_io_trk_alloc	-0.032992593	0.99268	0		
sanoad	Uncore	XTM	xtm_misc	sanoad	un_xtm_io_trk_alloc	0.156714815	0.00889	0		
sanoas	Uncore	XTM	xtm_misc	sanoas	un_xtm_io_trk_alloc	27.16665062	0	0		
