GennySim/GSim_State_Name,Source,Stepping,Weight,Type,RefGC,Comment
PS2_SFBE_NotCulled_FastClip,Gen10LP,A0,39.83,syn,1,
PS2_SFBE_NotCulled_NotFastClip,Gen10LP,A0,39.83,syn,1,
PS0_TDG,Gen10LP,A0,1.42,syn,1,
PS1_TDG,Gen10LP,A0,3.56,syn,1,
PS2_TDG,Gen10LP,A0,5.92,syn,1,
PS0_URBM_DOP,Gen10LP,A0,0,syn,1,
PS0_URBM,Gen10LP,A0,0.45,syn,1,
PS1_URBM,Gen10LP,A0,3.97,syn,1,
PS2_URBM,Gen10LP,A0,3.97,syn,1,
PS0_RS,Gen10LP,A0,0.95,syn,1,
PS1_RS,Gen10LP,A0,4.45,syn,1,
PS2_RS,Gen10LP,A0,4.45,syn,1,
PS0_DX9_Cache_Idle,Gen10LP,A0,0,ebb,1,
PS0_DX9_Cache_Read,Gen10LP,A0,0,ebb,1,
PS0_DX9_Cache_Write,Gen10LP,A0,0,ebb,1,
PS0_DX9_Cache_ReadWrite,Gen10LP,A0,0,ebb,1,
PS0_BTGEN_Cache_Idle,Gen10LP,A0,0,ebb,1,
PS0_BTGEN_Cache_Read,Gen10LP,A0,0,ebb,1,
PS0_BTGEN_Cache_Write,Gen10LP,A0,0,ebb,1,
PS0_BTGEN_Cache_ReadWrite,Gen10LP,A0,0,ebb,1,
PS0_OACS,Gen10LP,A0,0.89,syn,1,
PS1_OACS,Gen10LP,A0,4.83,syn,1,
PS2_OACS,Gen10LP,A0,4.83,syn,1,
PS0_SVG_DOP,Gen10LP,A0,0,syn,1,
PS0_SVG,Gen10LP,A0,0.97,syn,1,
PS1_SVG,Gen10LP,A0,3.43,syn,1,
PS2_SVG,Gen10LP,A0,3.43,syn,1,
PS0_SVL_DOP,Gen10LP,A0,0,syn,1,
PS0_SVL,Gen10LP,A0,1.07,syn,1,
PS1_SVL,Gen10LP,A0,4.09,syn,1,
PS2_SVL,Gen10LP,A0,4.09,syn,1,
PS0_VFE,Gen10LP,A0,0.18,syn,1,
PS1_VFE,Gen10LP,A0,2.06,syn,1,
PS2_VFE_GPGPU,Gen10LP,A0,4.79,syn,1,
PS2_VFE_MEDIA,Gen10LP,A0,4.79,syn,1,
PS0_TSG,Gen10LP,A0,2.12,syn,1,
PS1_TSG,Gen10LP,A0,15.34,syn,1,
PS2_TSG_Media_NoScoreboard,Gen10LP,A0,19.74,syn,1,
PS2_TSG_Media_Scoreboard,Gen10LP,A0,19.74,syn,1,
Fix_glue_power,Gen10LP,A0,0,syn,1,
PS0_WMFE_DOP,Gen10LP,A0,0,syn,1,
PS0_WMFE,Gen10LP,A0,2.39,syn,1,
PS1_WMFE,Gen10LP,A0,4.76,syn,1,
PS2_WMFE_NOTNULLTOPSC,Gen10LP,A0,22.18,syn,1,
PS2_WMFE_NULLTOPSC,Gen10LP,A0,3.68,syn,1,
PS2_WMFE_POLYFIFO_READ,Gen10LP,A0,0,syn,1,
PS2_WMFE_POLYFIFO_WRITE,Gen10LP,A0,0,syn,1,
PS0_WMBE_DOP,Gen10LP,A0,0,syn,1,
PS0_WMBE,Gen10LP,A0,3.43,syn,1,
PS1_WMBE,Gen10LP,A0,7,syn,1,
PS2_WMBE_MSAA_FULLYLIT,Gen10LP,A0,20.97,syn,1,
PS2_WMBE_MSAA_PARTIALLYLIT,Gen10LP,A0,55.15,syn,1,
PS2_WMBE_NULLTOPSC,Gen10LP,A0,4.86,syn,1,
PS2_WMBE_NOMSAA_FULLYLIT,Gen10LP,A0,30.83,syn,1,
PS2_WMBE_ANTIALIASING,Gen10LP,A0,123.99,syn,1,
PS2_WMBE_NOMSAA_PARTIALLYLIT,Gen10LP,A0,55.15,syn,1,
PS0_HIZFE_DOP,Gen10LP,A0,0,syn,1,
PS0_HIZFE,Gen10LP,A0,2.45,syn,1,
PS1_HIZFE,Gen10LP,A0,7.08,syn,1,
PS2_HIZFE_Zonly_1lit_4x4_Pass_Ambig,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Zonly_1lit_4x4_all_lit_Fail,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Zonly_2lit_4x4_Pass_Ambig,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Zonly_2lit_4x4_all_lit_Fail,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Zonly_3lit_4x4_Pass_Ambig,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Zonly_3lit_4x4_all_lit_Fail,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Zonly_4lit_4x4_Pass_Ambig,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Zonly_4lit_4x4_all_lit_Fail,Gen10LP,A0,0,syn,1,
PS2_HIZFE_ZSTC_1lit_4x4_Pass_Ambig,Gen10LP,A0,0,syn,1,
PS2_HIZFE_ZSTC_1lit_4x4_all_lit_Fail,Gen10LP,A0,0,syn,1,
PS2_HIZFE_ZSTC_2lit_4x4_Pass_Ambig,Gen10LP,A0,0,syn,1,
PS2_HIZFE_ZSTC_2lit_4x4_all_lit_Fail,Gen10LP,A0,0,syn,1,
PS2_HIZFE_ZSTC_3lit_4x4_Pass_Ambig,Gen10LP,A0,0,syn,1,
PS2_HIZFE_ZSTC_3lit_4x4_all_lit_Fail,Gen10LP,A0,0,syn,1,
PS2_HIZFE_ZSTC_4lit_4x4_Pass_Ambig,Gen10LP,A0,0,syn,1,
PS2_HIZFE_ZSTC_4lit_4x4_all_lit_Fail,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Stencil_Only,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Bypass,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Clear_Ambiguate,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Depth_Resolve,Gen10LP,A0,0,syn,1,
PS2_HIZFE_Zmarkers,Gen10LP,A0,0,syn,1,
PS2_HIZFE_CACHE_READ,Gen10LP,A0,0,ebb,1,
PS2_HIZFE_CACHE_WRITE,Gen10LP,A0,0,ebb,1,
PS2_HIZFE_LATFIFO_READ,Gen10LP,A0,0,syn,1,
PS2_HIZFE_LATFIFO_WRITE,Gen10LP,A0,0,syn,1,
PS0_HIZBE_DOP,Gen10LP,A0,0,syn,1,
PS0_HIZBE,Gen10LP,A0,6.19,syn,1,
PS1_HIZBE,Gen10LP,A0,17.87,syn,1,
PS2_HIZBE_Zonly_1lit_4x4_Pass_Ambig,Gen10LP,A0,36.4,syn,1,
PS2_HIZBE_Zonly_1lit_4x4_all_lit_Fail,Gen10LP,A0,36.4,syn,1,
PS2_HIZBE_Zonly_2lit_4x4_Pass_Ambig,Gen10LP,A0,36.4,syn,1,
PS2_HIZBE_Zonly_2lit_4x4_all_lit_Fail,Gen10LP,A0,36.4,syn,1,
PS2_HIZBE_Zonly_3lit_4x4_Pass_Ambig,Gen10LP,A0,0,syn,1,
PS2_HIZBE_Zonly_3lit_4x4_all_lit_Fail,Gen10LP,A0,0,syn,1,
PS2_HIZBE_Zonly_4lit_4x4_Pass_Ambig,Gen10LP,A0,5.77,syn,1,
PS2_HIZBE_Zonly_4lit_4x4_all_lit_Fail,Gen10LP,A0,5.77,syn,1,
PS2_HIZBE_ZSTC_1lit_4x4_Pass_Ambig,Gen10LP,A0,36.4,syn,1,
PS2_HIZBE_ZSTC_1lit_4x4_all_lit_Fail,Gen10LP,A0,36.4,syn,1,
PS2_HIZBE_ZSTC_2lit_4x4_Pass_Ambig,Gen10LP,A0,36.4,syn,1,
PS2_HIZBE_ZSTC_2lit_4x4_all_lit_Fail,Gen10LP,A0,36.4,syn,1,
PS2_HIZBE_ZSTC_3lit_4x4_Pass_Ambig,Gen10LP,A0,0,syn,1,
PS2_HIZBE_ZSTC_3lit_4x4_all_lit_Fail,Gen10LP,A0,0,syn,1,
PS2_HIZBE_ZSTC_4lit_4x4_Pass_Ambig,Gen10LP,A0,9.81,syn,1,
PS2_HIZBE_ZSTC_4lit_4x4_all_lit_Fail,Gen10LP,A0,72.83,syn,1,
PS2_HIZBE_Stencil_Only,Gen10LP,A0,30.26,syn,1,
PS2_HIZBE_Bypass,Gen10LP,A0,44.34,syn,1,
PS2_HIZBE_Clear_Ambiguate,Gen10LP,A0,72.83,syn,1,
PS2_HIZBE_Depth-Resolve,Gen10LP,A0,7.41,syn,1,
PS2_HIZBE_Zmarkers,Gen10LP,A0,0,syn,1,
PS0_STC_DOP,Gen10LP,A0,0,syn,1,
PS0_STC,Gen10LP,A0,3.32,syn,1,
PS1_STC,Gen10LP,A0,7.59,syn,1,
PS2_STC_ALLOC_HITS,Gen10LP,A0,36.4,syn,1,
PS2_STC_ALLOC_MISSES,Gen10LP,A0,36.4,syn,1,
PS2_STC_CACHE_READ,Gen10LP,A0,0,ebb,1,
PS2_STC_CACHE_WRITE,Gen10LP,A0,0,ebb,1,
PS0_IZ_DOP,Gen10LP,A0,0,syn,1,
PS0_IZ,Gen10LP,A0,5.77,syn,1,
PS1_IZ,Gen10LP,A0,9.81,syn,1,
PS2_IZ_NORMAL_DEPTHEN_PASS,Gen10LP,A0,72.83,syn,1,
PS2_IZ_CMP,Gen10LP,A0,30.26,syn,1,
PS2_IZ_NORMAL_DEPTHDIS,Gen10LP,A0,44.34,syn,1,
PS2_IZ_NORMAL_DEPTHEN_FAIL,Gen10LP,A0,72.83,syn,1,
PS2_IZ_ZMARKERS,Gen10LP,A0,7.41,syn,1,
PS2_IZ_BARYCOEFFIFO_READ,Gen10LP,A0,0,syn,1,
PS2_IZ_BARYCOEFFIFO_WRITE,Gen10LP,A0,0,syn,1,
PS2_IZ_LATFIFO_READ,Gen10LP,A0,0,syn,1,
PS2_IZ_LATFIFO_WRITE,Gen10LP,A0,0,syn,1,
PS2_IZ_POLYFIFO_READ,Gen10LP,A0,0,syn,1,
PS2_IZ_POLYFIFO_WRITE,Gen10LP,A0,0,syn,1,
PS2_IZ_WCOEFFIFO_READ,Gen10LP,A0,0,syn,1,
PS2_IZ_WCOEFFIFO_WRITE,Gen10LP,A0,0,syn,1,
PS2_IZ_ZCOEFFFIFO_READ,Gen10LP,A0,0,syn,1,
PS2_IZ_ZCOEFFFIFO_WRITE,Gen10LP,A0,0,syn,1,
PS0_MSC_DOP,Gen10LP,A0,0,syn,1,
PS0_MSC,Gen10LP,A0,2.23,syn,1,
PS1_MSC,Gen10LP,A0,7.88,syn,1,
PS2_MSC_MSAA_8PPC_DATA,Gen10LP,A0,15.87,syn,1,
PS2_MSC_NOMSAA_8PPC_CLEARRESOLVE,Gen10LP,A0,35.43,syn,1,
PS2_MSC_NOMSAA_8PPC_DATA,Gen10LP,A0,58.2,syn,1,
PS2_MSC_MSAA_4PPC_DATA,Gen10LP,A0,14.46,syn,1,
PS2_MSC_NOMSAA_4PPC_CLEARRESOLVE,Gen10LP,A0,34.33,syn,1,
PS2_MSC_NOMSAA_4PPC_DATA,Gen10LP,A0,53.43,syn,1,
PS2_MSC_CACHE_READ,Gen10LP,A0,0,ebb,1,
PS2_MSC_CACHE_WRITE,Gen10LP,A0,0,ebb,1,
PS0_RCZ_DOP,Gen10LP,A0,0,syn,1,
PS0_RCZ,Gen10LP,A0,4.69,syn,1,
PS1_RCZ,Gen10LP,A0,28.56,syn,1,
PS2_RCZ_ALLOC_HITS,Gen10LP,A0,91.34,syn,1,
PS2_RCZ_ALLOC_MISSES,Gen10LP,A0,91.34,syn,1,
PS2_RCZ_CACHE_READ,Gen10LP,A0,0,ebb,1,
PS2_RCZ_CACHE_WRITE,Gen10LP,A0,0,ebb,1,
PS0_RCC_DOP,Gen10LP,A0,0,syn,1,
PS0_RCC,Gen10LP,A0,3.35,syn,1,
PS1_RCC,Gen10LP,A0,8.1,syn,1,
PS2_RCC_ALLOC_HITS,Gen10LP,A0,63.36,syn,1,
PS2_RCC_ALLOC_MISSES,Gen10LP,A0,63.36,syn,1,
PS2_RCC_CACHE_READ,Gen10LP,A0,0,ebb,1,
PS2_RCC_CACHE_WRITE,Gen10LP,A0,0,ebb,1,
PS0_CC_DOP,Gen10LP,A0,0,syn,1,
PS0_CC,Gen10LP,A0,1.79,syn,1,
PS1_CC,Gen10LP,A0,6.76,syn,1,
PS2_CC_EN_WRITES,Gen10LP,A0,37.88,syn,1,
PS2_CC_EN_PARTIALS,Gen10LP,A0,24.26,syn,1,
PS2_CC_DIS,Gen10LP,A0,29.47,syn,1,
PS0_CPSS_DOP,Gen10LP,A0,0,syn,1,
PS0_CPSS,Gen10LP,A0,1.09,syn,1,
PS1_CPSS,Gen10LP,A0,1.23,syn,1,
PS2_CPSS_CPSDisstr,Gen10LP,A0,20.85,syn,1,
PS2_CPSS_CPSEnstr,Gen10LP,A0,30.85,syn,1,
PS2_CPSS_CPSEnPullstr,Gen10LP,A0,35.85,syn,1,
PS0_CPSSEbb_PQBuffer,Gen10LP,A0,0,ebb,1,
PS2_CPSSEbb_PQBuffer,Gen10LP,A0,0,ebb,1,
PS0_CPSSEbb_CPQBuffer,Gen10LP,A0,0,ebb,1,
PS2_CPSSEbb_CPQBuffer,Gen10LP,A0,0,ebb,1,
PS0_RCPFE_DOP,Gen10LP,A0,0,syn,1,
PS0_RCPFE,Gen10LP,A0,7.01,syn,1,
PS1_RCPFE,Gen10LP,A0,30.96,syn,1,
PS2_RCPFE_MSAA_2PPC_BLD_NOZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_2PPC_BLD_NOZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_2PPC_BLD_ZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_2PPC_BLD_ZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_2PPC_WRT_NOZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_2PPC_WRT_NOZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_2PPC_WRT_ZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_2PPC_WRT_ZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_4PPC_BLD_NOZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_4PPC_BLD_NOZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_4PPC_BLD_ZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_4PPC_BLD_ZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_4PPC_WRT_NOZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_4PPC_WRT_NOZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_4PPC_WRT_ZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_4PPC_WRT_ZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_8PPC_BLD_NOZFAIL,Gen10LP,A0,62.55,syn,1,
PS2_RCPFE_MSAA_8PPC_BLD_NOZPASS,Gen10LP,A0,62.55,syn,1,
PS2_RCPFE_MSAA_8PPC_BLD_ZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_8PPC_BLD_ZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MSAA_8PPC_WRT_NOZFAIL,Gen10LP,A0,62.55,syn,1,
PS2_RCPFE_MSAA_8PPC_WRT_NOZPASS,Gen10LP,A0,62.55,syn,1,
PS2_RCPFE_MSAA_8PPC_WRT_ZFAIL,Gen10LP,A0,29.27,syn,1,
PS2_RCPFE_MSAA_8PPC_WRT_ZPASS,Gen10LP,A0,83.58,syn,1,
PS2_RCPFE_MSAA_RTR,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_2PPC_BLD_NOZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_2PPC_BLD_NOZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_2PPC_BLD_ZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_2PPC_BLD_ZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_2PPC_WRT_NOZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_2PPC_WRT_NOZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_2PPC_WRT_ZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_2PPC_WRT_ZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_4PPC_BLD_NOZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_4PPC_BLD_NOZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_4PPC_BLD_ZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_4PPC_BLD_ZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_4PPC_WRT_NOZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_4PPC_WRT_NOZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_4PPC_WRT_ZFAIL,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_4PPC_WRT_ZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_8PPC_BLD_NOZFAIL,Gen10LP,A0,62.55,syn,1,
PS2_RCPFE_NOMSAA_8PPC_BLD_NOZPASS,Gen10LP,A0,62.55,syn,1,
PS2_RCPFE_NOMSAA_8PPC_BLD_ZFAIL,Gen10LP,A0,29.27,syn,1,
PS2_RCPFE_NOMSAA_8PPC_BLD_ZPASS,Gen10LP,A0,0,syn,1,
PS2_RCPFE_NOMSAA_8PPC_WRT_NOZFAIL,Gen10LP,A0,62.55,syn,1,
PS2_RCPFE_NOMSAA_8PPC_WRT_NOZPASS,Gen10LP,A0,62.55,syn,1,
PS2_RCPFE_NOMSAA_8PPC_WRT_ZFAIL,Gen10LP,A0,29.27,syn,1,
PS2_RCPFE_NOMSAA_8PPC_WRT_ZPASS,Gen10LP,A0,83.58,syn,1,
PS2_RCPFE_NOMSAA_RTR,Gen10LP,A0,0,syn,1,
PS2_RCPFE_COLORLATFIFO_READ,Gen10LP,A0,0,syn,1,
PS2_RCPFE_COLORLATFIFO_WRITE,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MCSLATFIFO_READ,Gen10LP,A0,0,syn,1,
PS2_RCPFE_MCSLATFIFO_WRITE,Gen10LP,A0,0,syn,1,
PS2_RCPFE_RCCLATFIFO_READ,Gen10LP,A0,0,syn,1,
PS2_RCPFE_RCCLATFIFO_WRITE,Gen10LP,A0,0,syn,1,
PS0_RCPBPIX_DOP,Gen10LP,A0,0,syn,1,
PS0_RCPBPIX,Gen10LP,A0,3.84,syn,1,
PS1_RCPBPIX,Gen10LP,A0,5.45,syn,1,
PS2_RCPBPIX_MSAA_2PPC_BLD,Gen10LP,A0,84.15,syn,1,
PS2_RCPBPIX_MSAA_2PPC_WRT,Gen10LP,A0,44.59,syn,1,
PS2_RCPBPIX_MSAA_4PPC_BLD,Gen10LP,A0,84.38,syn,1,
PS2_RCPBPIX_MSAA_4PPC_WRT,Gen10LP,A0,51.07,syn,1,
PS2_RCPBPIX_MSAA_8PPC_BLD,Gen10LP,A0,165.25,syn,1,
PS2_RCPBPIX_MSAA_8PPC_WRT,Gen10LP,A0,98.63,syn,1,
PS2_RCPBPIX_NOMSAA_2PPC_BLD,Gen10LP,A0,84.15,syn,1,
