Cluster,Source,Destination,Gate Count Scaling
rFF,Gen11LP,PVC_Scaled,False
rFF,Gen12LP,PVC_Scaled,False
ROSS,Gen9LPClient,PVC_Scaled,False
ROSS,Gen9LPSoC,PVC_Scaled,False
ROSS,Gen10LP,PVC_Scaled,False
ROSS,Gen11LP,PVC_Scaled,False
ROSS,Gen12LP,PVC_Scaled,False
ROSC,Gen9LPClient,PVC_Scaled,False
ROSC,Gen9LPSoC,PVC_Scaled,False
ROSC,Gen10LP,PVC_Scaled,False
ROSC,Gen11LP,PVC_Scaled,False
ROSC,Gen12LP,PVC_Scaled,False
SQIDI,Gen9LPClient,PVC_Scaled,False
SQIDI,Gen9LPSoC,PVC_Scaled,False
SQIDI,Gen10LP,PVC_Scaled,False
SQIDI,Gen11LP,PVC_Scaled,False
SQIDI,Gen12LP,PVC_Scaled,False
Other,Gen9LPClient,PVC_Scaled,False
Other,Gen9LPSoC,PVC_Scaled,False
Other,Gen10LP,PVC_Scaled,False
Other,Gen11LP,PVC_Scaled,False
Other,Gen12LP,PVC_Scaled,False
Other,Gen12HP,PVC_Scaled,False
EU,Gen9LPClient,PVC_A21,False
EU,Gen9LPSoC,PVC_A21,False
EU,Gen10LP,PVC_A21,False
EU,Gen11LP,PVC_A21,False
EU,Gen12LP,PVC_A21,False
EU,Gen12HP,PVC_A21,False
L3_Bank,Gen9LPClient,PVC_A21,False
L3_Bank,Gen9LPSoC,PVC_A21,False
L3_Bank,Gen10LP,PVC_A21,False
L3_Bank,Gen11LP,PVC_A21,False
L3_Bank,Gen12LP,PVC_A21,False
L3_Bank,Gen12DG,PVC_A21,False
L3_Bank,Gen12HP,PVC_A21,False
GAM,Gen9LPClient,PVC_A21,False
GAM,Gen9LPSoC,PVC_A21,False
GAM,Gen10LP,PVC_A21,False
GAM,Gen11LP,PVC_A21,False
GAM,Gen12LP,PVC_A21,False
Sampler,Gen9LPClient,PVC_A21,False
Sampler,Gen9LPSoC,PVC_A21,False
Sampler,Gen10LP,PVC_A21,False
Sampler,Gen12LP,PVC_A21,False
Sampler,Gen11LP,PVC_A21,False
L3Node,Gen9LPClient,PVC_A21,False
L3Node,Gen9LPSoC,PVC_A21,False
L3Node,Gen10LP,PVC_A21,False
L3Node,Gen11LP,PVC_A21,False
L3Node,Gen12LP,PVC_A21,False
L3Node,Gen12DG,PVC_A21,False
L3Node,Gen12HP,PVC_A21,False
Fabric,Gen9LPClient,PVC_A21,False
Fabric,Gen9LPSoC,PVC_A21,False
Fabric,Gen10LP,PVC_A21,False
Fabric,Gen11LP,PVC_A21,False
Fabric,Gen12LP,PVC_A21,False
Fabric,Gen12DG,PVC_A21,False
Fabric,Gen12HP,PVC_A21,False
GTI,Gen9LPClient,PVC_A21,False
GTI,Gen9LPSoC,PVC_A21,False
GTI,Gen10LP,PVC_A21,False
GTI,Gen12LP,PVC_A21,False
GTI,Gen11LP,PVC_A21,False
UNCORE,Gen9LPClient,PVC_A21,False
UNCORE,Gen9LPSoC,PVC_A21,False
UNCORE,Gen10LP,PVC_A21,False
UNCORE,Gen11LP,PVC_A21,False
UNCORE,Gen12LP,PVC_A21,False
COLOR,Gen9LPClient,PVC_A21,False
COLOR,Gen9LPSoC,PVC_A21,False
COLOR,Gen10LP,PVC_A21,False
COLOR,Gen11LP,PVC_A21,False
COLOR,Gen12LP,PVC_A21,False
Z,Gen9LPClient,PVC_A21,False
Z,Gen9LPSoC,PVC_A21,False
Z,Gen10LP,PVC_A21,False
Z,Gen11LP,PVC_A21,False
Z,Gen12LP,PVC_A21,False
DSSC,Gen9LPClient,PVC_A21,False
DSSC,Gen9LPSoC,PVC_A21,False
DSSC,Gen10LP,PVC_A21,False
DSSC,Gen11LP,PVC_A21,False
DSSC,Gen12LP,PVC_A21,False
FF,Gen9LPClient,PVC_A21,False
FF,Gen9LPSoC,PVC_A21,False
FF,Gen10LP,PVC_A21,False
FF,Gen11LP,PVC_A21,False
FF,Gen12LP,PVC_A21,False
HDC,Gen9LPClient,PVC_A21,False
HDC,Gen9LPSoC,PVC_A21,False
HDC,Gen10LP,PVC_A21,False
HDC,Gen11LP,PVC_A21,False
HDC,Gen12LP,PVC_A21,False
rFF,Gen9LPClient,PVC_A21,False
rFF,Gen9LPSoC,PVC_A21,False
rFF,Gen10LP,PVC_A21,False
rFF,Gen11LP,PVC_A21,False
rFF,Gen12LP,PVC_A21,False
ROSS,Gen9LPClient,PVC_A21,False
ROSS,Gen9LPSoC,PVC_A21,False
ROSS,Gen10LP,PVC_A21,False
ROSS,Gen11LP,PVC_A21,False
ROSS,Gen12LP,PVC_A21,False
ROSC,Gen9LPClient,PVC_A21,False
ROSC,Gen9LPSoC,PVC_A21,False
ROSC,Gen10LP,PVC_A21,False
ROSC,Gen11LP,PVC_A21,False
ROSC,Gen12LP,PVC_A21,False
SQIDI,Gen9LPClient,PVC_A21,False
SQIDI,Gen9LPSoC,PVC_A21,False
SQIDI,Gen10LP,PVC_A21,False
SQIDI,Gen11LP,PVC_A21,False
SQIDI,Gen12LP,PVC_A21,False
Other,Gen9LPClient,PVC_A21,False
Other,Gen9LPSoC,PVC_A21,False
Other,Gen10LP,PVC_A21,False
Other,Gen11LP,PVC_A21,False
Other,Gen12LP,PVC_A21,False
Other,Gen12HP,PVC_A21,False
L3_Bank,Gen12LP,PVC,False
L3_Bank,Gen12HP,PVC,False
L3_Bank,DG2,PVC,False
L3_Bank,ADL,PVC,False
L3_Bank,PVC,PVC,False
L3_Bank,Gen12HP,PVC2,False
L3_Bank,PVC,PVC2,False
L3_Bank,PVC2,PVC2,False
HDC,Gen12LP,PVC,False
DSSC,Gen12LP,PVC,False
HDC,Gen12LP,PVC,False
HDC,Gen12HP,PVC,False
HDC,DG2,PVC,False
HDC,ADL,PVC,False
HDC,PVC,PVC,False
EU,Gen9LPClient,PVC,False
EU,Gen9LPSoC,PVC,False
EU,Gen10LP,PVC,False
EU,Gen11LP,PVC,False
EU,Gen12LP,PVC,False
EU,Gen12HP,PVC,False
EU,DG2,PVC,False
EU,ADL,PVC,False
L3_Bank,Gen9LPClient,PVC,False
L3_Bank,Gen9LPSoC,PVC,False
L3_Bank,Gen10LP,PVC,False
L3_Bank,Gen11LP,PVC,False
L3_Bank,Gen12LP,PVC,False
L3_Bank,Gen12DG,PVC,False
GAM,Gen9LPClient,PVC,False
GAM,Gen9LPSoC,PVC,False
GAM,Gen10LP,PVC,False
GAM,Gen11LP,PVC,False
GAM,Gen12LP,PVC,False
GAM,Gen12HP,PVC,False
GAM,DG2,PVC,False
GAM,ADL,PVC,False
GAM,PVC,PVC,False
GAM,PVC,PVC_A21,False
GAM,Gen12HP,PVC_A21,False
GAM,PVC,PVC2,False
GAM,PVC2,PVC2,False
Sampler,Gen9LPClient,PVC,False
Sampler,Gen9LPSoC,PVC,False
Sampler,Gen10LP,PVC,False
Sampler,Gen12LP,PVC,False
Sampler,Gen11LP,PVC,False
Sampler,Gen12HP,PVC,False
Sampler,DG2,PVC,False
Sampler,ADL,PVC,False
Sampler,PVC,PVC,False
LSC,PVC,PVC,False
LSC,PVC,PVC2,False
LSC,PVC2,PVC2,False
ROW,PVC,PVC,False
ROW,PVC,PVC2,False
ROW,PVC2,PVC2,False
L3Node,Gen9LPClient,PVC,False
L3Node,Gen9LPSoC,PVC,False
L3Node,Gen10LP,PVC,False
L3Node,Gen11LP,PVC,False
L3Node,Gen12DG,PVC,False
L3Node,Gen12LP,PVC,False
L3Node,Gen12HP,PVC,False
L3Node,DG2,PVC,False
L3Node,ADL,PVC,False
Fabric,Gen9LPClient,PVC,False
Fabric,Gen9LPSoC,PVC,False
Fabric,Gen10LP,PVC,False
Fabric,Gen11LP,PVC,False
Fabric,Gen12LP,PVC,False
Fabric,Gen12DG,PVC,False
Fabric,Gen12HP,PVC,False
Fabric,DG2,PVC,False
Fabric,ADL,PVC,False
GTI,Gen9LPClient,PVC,False
GTI,Gen9LPSoC,PVC,False
GTI,Gen10LP,PVC,False
GTI,Gen12LP,PVC,False
GTI,Gen11LP,PVC,False
GTI,Gen12HP,PVC,False
GTI,DG2,PVC,False
GTI,ADL,PVC,False
SQIDI,Gen9LPClient,PVC,False
SQIDI,Gen9LPSoC,PVC,False
SQIDI,Gen10LP,PVC,False
SQIDI,Gen12LP,PVC,False
SQIDI,Gen11LP,PVC,False
SQIDI,Gen12HP,PVC,False
SQIDI,DG2,PVC,False
SQIDI,ADL,PVC,False
SQIDI,PVC,PVC,False
SQIDI,PVC,PVC2,False
SQIDI,PVC2,PVC2,False
UNCORE,Gen9LPClient,PVC,False
UNCORE,Gen9LPSoC,PVC,False
UNCORE,Gen10LP,PVC,False
UNCORE,Gen11LP,PVC,False
UNCORE,Gen12LP,PVC,False
COLOR,Gen9LPClient,PVC,False
COLOR,Gen9LPSoC,PVC,False
COLOR,Gen10LP,PVC,False
COLOR,Gen11LP,PVC,False
COLOR,Gen12LP,PVC,False
Z,Gen9LPClient,PVC,False
Z,Gen9LPSoC,PVC,False
Z,Gen10LP,PVC,False
Z,Gen11LP,PVC,False
Z,Gen12LP,PVC,False
