State,Source,Stepping,Weight,Type,RefGC,Comments
INSTR_AVG_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_AVG_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_AVG_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_AVG_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_AVG_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_AVG_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_AVG_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_AVG_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_AVG_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_AVG_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_AVG_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_AVG_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_AVG_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_AVG_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_AVG_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_AVG_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_BFE_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFE_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_BFE_UW_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFE_UW_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_BFE_W_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFE_W_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_BFE_W_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFE_W_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_BFE_UD_EM,Gen8,A0,31.084,syn,397435,
INSTR_BFE_UD_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_BFE_UD_FPU,Gen8,A0,40.206,syn,397435,
INSTR_BFE_UD_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_BFE_D_EM,Gen8,A0,31.084,syn,397435,
INSTR_BFE_D_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_BFE_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_BFE_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_BFE_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_BFE_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_BFE_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_BFE_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_BFE_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_BFE_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_BFE_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_BFE_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_BFE_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFE_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_BFE_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFE_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_BFE_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_BFE_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_BFI1_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFI1_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_BFI1_UW_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFI1_UW_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_BFI1_W_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFI1_W_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_BFI1_W_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFI1_W_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_BFI1_UD_EM,Gen8,A0,31.084,syn,397435,
INSTR_BFI1_UD_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_BFI1_UD_FPU,Gen8,A0,40.206,syn,397435,
INSTR_BFI1_UD_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_BFI1_D_EM,Gen8,A0,31.084,syn,397435,
INSTR_BFI1_D_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_BFI1_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_BFI1_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_BFI1_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_BFI1_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_BFI1_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_BFI1_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_BFI1_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_BFI1_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_BFI1_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_BFI1_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_BFI1_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFI1_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_BFI1_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFI1_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_BFI1_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_BFI1_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_BFI2_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFI2_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_BFI2_UW_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFI2_UW_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_BFI2_W_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFI2_W_EM,Gen9LPClient,A0,20.1284,syn,416823,
