State,Source,Stepping,Weight,Type,GC,COMMENT,UNIT,CLUSTER,Annealing/TR
PS2_MT_Tile_else,Gen8,B0,49.53,syn,353223.00,made equal to mt_tile_y,MT,Sampler,Annealing
PS2_MT_Tile_X,Gen8,B0,0.00,syn,353223.00,NIB,MT,Sampler,Annealing
PS2_MT_Tile_Y,Gen8,B0,49.53,syn,353223.00,yacoub,MT,Sampler,Annealing
PS2_OACS,Gen8,A0,0.00,syn,1.00,,OACS,FF,
PS2_PL_Bilinear,Gen8,B0,132.20,syn,499872.00,yacoub,PL,Sampler,Annealing
PS2_PL_Bilinear_EWA,Gen8,B0,137.53,syn,499873.00,yacoub,PL,Sampler,Annealing
PS2_PL_Else,Gen8,B0,132.20,syn,499880.00,yacoub,PL,Sampler,Annealing
PS2_PL_Gather4PO,Gen8,B0,132.20,syn,499869.00,"made equal to PS2_PL_Gather4, yacoub; Gather4PO NIB",PL,Sampler,Annealing
PS2_PL_Gather4PO,Gen8,B0,49.03,syn,499870.00,yacoub,PL,Sampler,Annealing
PS2_PL_LD,Gen8,B0,67.98,syn,499871.00,yacoub,PL,Sampler,Annealing
PS2_PL_LinearAniso,Gen8,B0,0.00,syn,499876.00,NIB,PL,Sampler,Annealing
PS2_PL_LinearAniso_EWA,Gen8,B0,99.88,syn,499877.00,yacoub,PL,Sampler,Annealing
PS2_PL_NonLinearAniso,Gen8,B0,0.00,syn,499878.00,NIB,PL,Sampler,Annealing
PS2_PL_NonLinearAniso_EWA,Gen8,B0,163.78,syn,499879.00,yacoub,PL,Sampler,Annealing
PS2_PL_Sample_L,Gen8,B0,50.30,syn,499869.00,yacoub,PL,Sampler,Annealing
PS2_PL_Trilinear,Gen8,B0,85.08,syn,499874.00,yacoub,PL,Sampler,Annealing
PS2_PL_Trilinear_EWA,Gen8,B0,87.58,syn,499875.00,yacoub,PL,Sampler,Annealing
PS2_PSD,Gen8,A0,67.94,syn,606024.00,,PSD,ROSS,
PS2_PSD_BARYPAYLDASMRAM_READ,Gen8,B0,7.81,ebb,1.00,,PSD,ROSS,
PS2_PSD_BARYPAYLDASMRAM_READ,Gen8LPSoC,B0,3.49,ebb,1.00,,PSD,ROSS,
PS2_PSD_BARYPAYLDASMRAM_WRITE,Gen8,B0,7.77,ebb,1.00,,PSD,ROSS,
PS2_PSD_BARYPAYLDASMRAM_WRITE,Gen8LPSoC,B0,5.28,ebb,1.00,,PSD,ROSS,
PS2_PSD_NOTHREADDISPATCH,Gen8,A0,67.94,syn,606024.00,,PSD,ROSS,
