Unit,Cluster,Gen9LPClient,Gen9LPSoC,Gen9LPglv,Gen9.5LP,Gen10LP,Gen11_old,Gen11LP,Gen12LP_Arijit,Gen12LP_28,Gen12LP,Gen11
SARB,ROSC,182737,170546.2,170654.7,171137,174946.62,175184.322,308636.71,375828.291,127217.1357,76330.28144,187005.29
SBE,ROSC,1207312,801444.78,801444.78,1128478,1193857.13,1775042.443,1092896.88,1165987.385,1408170.603,1408170.603,1054026.82
SMALL,ROSC,43310,0,0,41250,48629.81,48654.509,755892.43,800490.0834,193695.8842,218625.3498,220592.84
SVL,ROSC,100570,116623.62,127690.62,94185,241134.93,240196.502,107774.22,119288.772,157392.433,157392.433,105791.07
TDC,ROSC,194083,175173.92,176258.92,181605,169097.3,333696.729,274435.675,296548.242,276620.8426,276620.8426,272111.55
WMBE,ROSC,809073,820314.3,820314.3,777891,908719.51,919592.017,864412.64,877603.372,575000,575000,750073.44
WMFE,ROSC,205548,205606.06,205606.06,197787,596298.06,758595.345,305447.72,347271.329,575000,575000,498052.98
Assign,ROSS,0,0,0,0,0,0,1,1.195,0.958890946,1.077215583,0.95354839
BC,ROSS,639275,643832.52,643832.52,625148,721775.54,0,0,0,0,0,0
CLKGLUE,ROSS,1,1,1,1,1,0.379,1,1.195,0.958890946,1.077215583,0.95354839
CPSS,ROSS,0,0,0,0,529685.32,0,0,0,0,0,0
CPunit,ROSS,18380,18793.8,18793.8,17903,31631.99,11975.472,26519.81,31691.17295,25429.60569,28567.55258,25287.92213
DAPRSS,ROSS,751885,795350.28,687935.28,716394,790554.01,0,0,0,0,0,0
DFX,ROSS,148934,207847.72,207847.72,116147,184101.07,69698.338,95764.94,114439.1033,91828.13388,103159.4856,91316.50436
DOP,ROSS,1,1,1,1,1,0.379,1,1.195,0.958890946,1.077215583,0.95354839
GWL,ROSS,90710,93170.81,93170.81,88812,95788.79,0,0,0,0,0,0
IC,ROSS,293486,293362.03,298244.53,285943,286900.72,287925.286,286039.945,393880.62,332343.3535,332343.3535,284915.86
MA_IN,ROSS,81935,119357.22,119357.22,81935,112601.3,171216.159,79417.985,105920.825,81043.73,162087.46,153484.49
MA_OUT,ROSS,81935,119357.22,119357.22,81935,112601.3,112601.3,79417.985,105920.825,81043.73,154021.32,158701.25
NONCLKGLUE,ROSS,1,1,1,1,1,0.379,1,1.195,0.958890946,1.077215583,0.95354839
PSD,ROSS,697208,701040.96,701040.96,682330,740239.09,0,0,0,0,0,0
Repeater,ROSS,21700,58181.23,58181.23,21024,99420.94,37639.511,22923.09,27393.09255,21980.74345,24693.10975,21858.27556
SMALL,ROSS,266907,293448.69,293448.69,230193,356424.13,469902.864,387701.22,463302.9579,158726.2,158693.3773,89019.09
TDL,ROSS,473111,494121.37,441498.87,461182,567958.6,591780.46,468829.75,634720.135,594750.2652,594750.2652,554833.75
AVS,Sampler,844918,853458.73,761559.23,828665,1308693.31,1315289.565,1151557.935,1011985.4,650699.3137,425556.7796,319493.63
CRE,Sampler,565076,616411.47,540385.52,556763,1385521.22,1433287.955,1190663.03,1039465.079,874554.723,1423810.449,1077814.77
DFRSMP_Assign,Sampler,0,0,0,0,0,1,1,0.899,1.208860787,1.07043369,1.004571788
DFRSMP_CLKGLUE,Sampler,1,1,1,1,1,0.975,1,0.899,1.208860787,1.07043369,1.004571788
DFRSMP_CPunit,Sampler,27400,26349.19,26349.19,27400,16045.75,15639.671,21637.545,19452.15296,26156.77968,23161.55714,21736.46726
DFRSMP_DFX,Sampler,252584,395735.71,395735.71,252584,159599.82,155560.731,155136.2,139467.4438,187538.0689,166063.0151,155845.4498
DFRSMP_DOP,Sampler,1,1,1,1,1,0.975,1,0.899,1.208860787,1.07043369,1.004571788
DFRSMP_NONCLKGLUE,Sampler,1,1,1,1,1,0.975,1,0.899,1.208860787,1.07043369,1.004571788
DFRSMP_Repeater,Sampler,91820,100637,100637,91820,15742.25,15343.851,51482.605,46282.8619,62235.30241,55108.71485,51717.97254
DFRSMP_SMALL,Sampler,261860,245980.81,245980.81,261860,112208.91,164437.583,604683.535,543610.498,730978.2141,647273.6278,607448.0198
DG,Sampler,229451,249976.67,254587.92,221819,260067.87,296834.648,270553.505,275255.102,1687283.104,300770.5976,280858.61
DM,Sampler,1048507,1153701.92,1134605.92,1006808,1365044.2,1360718.467,836489.945,1370461.255,908941.923,919468.4222,932591.26
FL,Sampler,995481,1022681.66,1016117.41,961232,1044966.38,1015035.587,781775.275,797213.186,275877.4025,275877.4025,780453.97
FT,Sampler,139216,145074.81,144597.41,134469,159079.35,160036.015,180367.07,282302.882,115697.8179,249126.674,175568.95
IEF,Sampler,220711,239266.7,215396.7,216466,217256.03,219401.719,183950.68,157973.858,15386050.91,188865.81,175560.43
IME,Sampler,1157970,1165437.29,1019949.64,1140898,1176059.17,989787.72,820581.98,694768.973,937846.8305,937846.8305,1000586.96
Media,Sampler,0,0,0,0,0,0,0,0,0,0,0
MEDIASMP_Assign,Sampler,0,0,0,0,0,1,1,0.848,2.617103911,0.964992116,0.874933401
MEDIASMP_CLKGLUE,Sampler,1,1,1,1,1,1.121,1,0.848,2.617103911,0.964992116,0.874933401
MEDIASMP_CPunit,Sampler,11910,12764.59,12764.59,11910,11479.94,12863.721,9582.625,8126.066,1330564.681,12622.08949,1316.54
MEDIASMP_DFX,Sampler,56009,166992.61,166992.61,56009,147664.48,165463.821,71379.69,60529.97712,94901.0468,99148.55309,0
MEDIASMP_DOP,Sampler,1,1,1,1,1,1.121,1,0.848,2.617103911,0.964992116,0.874933401
MEDIASMP_NONCLKGLUE,Sampler,1,1,1,1,1,1.121,1,0.848,2.617103911,0.964992116,0.874933401
MEDIASMP_Repeater,Sampler,0,24794.45,24794.45,0,28619.12,32068.843,15982.06,13552.78688,12.593634,13.15729,0
MEDIASMP_SMALL,Sampler,12580,12454.51,12454.51,12580,188045.58,836518.523,991241.74,840572.9955,574114.8341,574698.6497,546767.95
MT,Sampler,367057,401461.33,400864.58,360278,389177.5,380966.821,322949.505,506174.293,381364.3176,381364.3176,314856.29
PL,Sampler,525901,524115.29,517768.04,497913,550436.89,558863.295,563775.985,506273.906,403474.1669,503840.8751,547687.32
SC,Sampler,404442,397757.66,397757.66,387889,491099.68,342988.662,367272.895,565545.423,1186402.302,1201091.605,343962.85
SI,Sampler,380565,401868.49,385159.49,359155,510950.62,527033.749,476530.055,492320.648,212024.3181,212024.3181,468594.21
SmallPL,Sampler,0,0,0,0,0,0,564574.77,506273.9056,501110.3,503840.8751,547687.32
SO,Sampler,133635,127269.21,127269.21,129027,130086.56,94152.044,115656.42,123686.794,188382.881,0,109444.68
ST,Sampler,283569,274582.73,274582.73,273950,379509.72,355086.319,360939.885,562459.798,9734.677196,628015.1149,366096.36
SVSM,Sampler,144689,143805.72,150315.72,139981,230667.34,255135.53,178890.61,213287.24,197917.0601,197917.0601,174923.45
Assign,SQIDI,42720,0,0,55995,0,0,188.71,193.99388,187.8765454,187.4821416,172.4542169
CLKGLUE,SQIDI,1,1,1,1,0.58,0.404,1,1.028,0.995583411,0.993493411,0.913858391
CPunit,SQIDI,40960,32768.56,32768.56,44110,45297.35,31550.753,23828.14,24495.32792,23722.90089,23673.10009,21775.54567
DFX,SQIDI,549319,570084.64,570084.64,540631,309747.38,215746.909,145343.42,149413.0358,144701.4978,144397.7301,132823.3039
DOP,SQIDI,1,1,1,1,0.58,0.404,1,1.028,0.995583411,0.993493411,0.913858391
MAC,SQIDI,0,0,0,0,0,114589.74,56349.19,57423.724,88927.85511,0,85899.59
MAD,SQIDI,0,0,0,0,0,135915.58,77555.5,69858.749,0,0,125831.74
MBGFGT,SQIDI,1,438917.46,438917.46,1,179775.74,154134.398,100856.69,103585.374,155980.833,155980.833,100229.25
MIDI,SQIDI,37953,18183.06,18183.06,19956,13739.34,14408.75,24033.55,19236.881,35173.5995,120217.3722,23625.81
MISD,SQIDI,703038,699081.1,699081.1,660267,648070.87,760544.29,676495.83,691612.558,1194910.802,1194910.802,698376.59
MSNP,SQIDI,1,861224.72,861224.72,1,317044.5,139412.29,150325.14,158601.095,157413.5096,157413.5096,154033.25
MSQC,SQIDI,1097233,897016.61,897016.61,1200563,1555633.26,918695.21,649788.67,348446.748,351224.9371,351224.9371,473613.06
MSQD,SQIDI,397879,527006.68,527006.68,533314,867462.99,530816.14,581174.05,299649.327,384346.1875,384346.1875,436809.27
NONCLKGLUE,SQIDI,1,1,1,1,0.58,0.404,1,1.028,0.995583411,0.993493411,0.913858391
Repeater,SQIDI,12970,9.07,9.07,12214,81977.36,57099.311,76463.78,78604.76584,76126.07089,75966.26163,69877.06693
SMALL,SQIDI,895380,655321.74,655321.74,920697,1376404.79,1948754.415,1087336.77,1117782.2,1020903.97,1017673.871,1012278.08
Assign,UNCORE,42720,0,0,55995,0,0,1221.16,1270.0064,1167.546367,1292.231352,1297.759764
CLKGLUE,UNCORE,1,1,1,1,0.24,0.063,1,1.04,0.956096144,1.058199869,1.06272705
CPunit,UNCORE,40960,32768.56,32768.56,44110,5814.3,1519.358,11814.78,12287.3712,11296.0656,12502.39865,12555.88629
DFX,UNCORE,549319,570084.64,570084.64,540631,105457.57,27557.547,130584.23,135807.5992,124851.0787,138184.2151,138775.3935
DOP,UNCORE,1,1,1,1,0.24,0.063,1,1.04,0.956096144,1.058199869,1.06272705
MBGFUC,UNCORE,1,1,1,1,196101.49,363823.449,132578.28,140538.647,202069.2564,202069.2564,162216.56
MDRB,UNCORE,1,203935.02,203935.02,1,436664.84,460414.367,281224.79,287172.256,209495.5837,209495.5837,374392.76
NONCLKGLUE,UNCORE,1,1,1,1,0.24,0.063,1,1.04,0.956096144,1.058199869,1.06272705
Repeater,UNCORE,12970,9.07,9.07,12214,0,1,8133.58,8458.9232,7776.484472,8606.95329,8643.775478
SMALL,UNCORE,895380,655321.74,655321.74,920697,593966.85,876270.557,563178.2,585705.328,435542.2433,540739.4195,497797.83
SNP_FILTER,UNCORE,0,0,0,0,0,757549.16,53315.87,45842.258,137956.0389,137956.0389,60517.49
Assign,Z,1900,46118.28,46118.28,1809,0,0,1,1.143,1.478523725,1.480190278,0.779096263
CLKGLUE,Z,1,1,1,1,1,1.039,1,1.143,1.478523725,1.480190278,0.779096263
CPunit,Z,23870,71459.99,71459.99,24234,15096.74,15680.539,18983.185,21697.78046,28067.08941,28098.72587,14789.72849
DFX,Z,155170,356408.33,356408.33,151521,135575.48,140818.258,154823.35,176963.0891,228909.9962,229168.0174,120622.2934
DOP,Z,1,1,1,1,1,1.039,1,1.143,1.478523725,1.480190278,0.779096263
HIZ,Z,1722766,1173835.78,1176005.78,1673095,1594326.88,1733170.597,1252308.01,1510140.073,1742192.213,1749628.226,622472.465
IZ,Z,1087618,1033090.12,1033090.12,1031448,998386.14,887912.73,767722.885,888911.686,3969289.2,3969289.2,840465.28
NONCLKGLUE,Z,1,1,1,1,1,1.039,1,1.143,1.478523725,1.480190278,0.779096263
RCZ,Z,1003901,916033.49,918203.49,935382,863344.09,944429.222,822491.895,987237.792,0,0,845387.05
Repeater,Z,111330,147942.63,147942.63,98416,160854.04,167074.354,138988.945,158864.3641,205498.4527,205730.0851,108285.7676
SMALL,Z,118230,120734.14,120734.14,112993,917.32,1031.686,413061.655,472129.4717,192721.4404,191940.4861,76272.35
STC,Z,685333,648266.18,650436.18,642064,759927.21,813427.297,737725.065,851567.508,0,0,726575.37
