Source,Destination,Process_scaling_factor,Driver_improvement
Gen9LP,Gen10LP,1,1
Gen9LP,Gen11LP,1,1
Gen9LP,Gen12LP,1,1
Gen9LP,Gen12HP,1,1
Gen10LP,Gen11LP,1,1
Gen10LP,Gen12LP,1,1
Gen10LP,Gen12HP,1,1
Gen11LP,Gen12LP,1,1
Gen11LP,Gen12HP,1,1
Gen11LP,Gen11LP,1,1
Gen12LP,Gen12HP,1,1
